name,county,town,official_address
Mutindwa Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Mvono Clinic,Taita Taveta,Wundanyi,P.O Box 1107
Mwambirwa Dispensary,Taita Taveta,,
Mwanda Health Centre (Taita Taveta),Taita Taveta,Mgange,P.O Box 168
Mwashuma Dispensary (CDF),Taita Taveta,Ng'ambwa,P.O Box 94
Mwatate Sisal Estate Clinic,Taita Taveta,,
Mwatate Sub-District Hospital,Taita Taveta,Mwatate,P.O Box 149
Mwendantu Amani Clinic,Tharaka Nithi,Chogoria,P.O Box 384
Mwendantu Baraka Clinic,Tharaka Nithi,Chogoria,P.O Box 384
Mwikia Clinic,Tharaka Nithi,Magutuni Chogoria,P.O Box P.O. Box 10
Mwonge Clinic,Tharaka Nithi,Chuka,
Mwonge Dispensary,Tharaka Nithi,Chuka,P.O Box 225
Ndilidau Dispensary (Jipe),Taita Taveta,Taveta,P.O Box P.O. Box 31
Ndome Dispensary (Taita),Taita Taveta,Tausa,P.O Box 44
Ndongo Purple Clinic,Taita Taveta,Taveta,Please specify P.O. Box 31
Ndovu Health Centre,Taita Taveta,Voi,P.O Box 111
Ndumbini Dispensary,Tharaka Nithi,magutuni,P.O Box 10
Nerkwo Dispensary,Elgeyo Marakwet,,
Ngeru Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Nguruki-Iruma Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Njaina Dispensary,Tharaka Nithi,,
Njukini Health Centre,Taita Taveta,Taveta,Please specify P.O. Box 31
Nkondi Dispensary,Tharaka Nithi,Marimanti,P.O Box 5 Marimanti
Nkwego Dispensary,Tharaka Nithi,0,Private Bag 0
Ntha Clinic,Tharaka Nithi,Chuka,P.O Box 115
Nyache Health Centre,Taita Taveta,Mgambonyi,P.O Box 61
Nyagani Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
PCEA Karungaru Dispensary,Tharaka Nithi,Gatunga,P.O Box 35 Chogoria
Ponya Clinic,Tharaka Nithi,Igoji,P.O Box P.O. Box 227
Presbyterian Ttc Rubate Health Centre,Tharaka Nithi,Chuka,P.O Box 177
Redeemed Gospel Church VCT,Tharaka Nithi,,
Rekeke Model Health Centre,Taita Taveta,Taveta,P.O Box 31
Riflot Medical Centre,Taita Taveta,VOI,P.O Box 546
Rimoi Dispensary,Elgeyo Marakwet,Iten,P.O Box 332 Iten
